source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[assay]
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_OFF_2p5ms_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_OFF_2p5ms_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_OFF_2p5ms_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom OFF; 05Y_50H_45E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_01	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 05Y_50H_45E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 05Y_50H_45E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-05Y_50H_45E_NR0_100_ON_2p5ms_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 05Y_50H_45E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_01	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom OFF; 25Y_50H_25E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom OFF; 25Y_50H_25E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_OFF_2p5ms_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom OFF; 25Y_50H_25E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_01	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 25Y_50H_25E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 25Y_50H_25E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-25Y_50H_25E_NR0_100_ON_2p5ms_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 25Y_50H_25E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_01	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom OFF; 45Y_50H_05E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom OFF; 45Y_50H_05E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_OFF_2p5ms_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom OFF; 45Y_50H_05E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_01	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 45Y_50H_05E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_02	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	2	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 45Y_50H_05E; 3-species mix
20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_03	Homo sapiens	not applicable	normal	epithelial cell	cell	HEK293	CVCL_0045	not available	female	not available	embryonic	1	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Astral Zoom;AC=MS:1003442	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	3	20250525_AST0_NEO5_JVO_IO15_050SPD_3sppmix_200ng_400-800-45Y_50H_05E_NR0_100_ON_2p5ms_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	050 SPD; Astral zoom ON; 45Y_50H_05E; 3-species mix
