source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PT2201S2F04	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S2F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S2F04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S2F04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S3F06	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S3F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S3F06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S3F06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
2-Bsf-F12-13	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	13	2-Bsf-F12-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	2-Bsf-F12-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/2-Bsf-F12-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S1F03	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S1F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S1F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S1F03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
MU3-Pcf-F12-13	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	13	MU3-Pcf-F12-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	MU3-Pcf-F12-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU3-Pcf-F12-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf3-F4-5	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	5	Bsf3-F4-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf3-F4-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf3-F4-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf3-F6-7	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	7	Bsf3-F6-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf3-F6-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf3-F6-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf-F8-9	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	9	Bsf-F8-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf-F8-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf-F8-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-F6-7b	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Silac-F6-7b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-F6-7b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F6-7b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
MU-Pcf-F16-18	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	18	MU-Pcf-F16-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	MU-Pcf-F16-18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU-Pcf-F16-18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf3-F3	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Bsf3-F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	3	1	Bsf3-F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf3-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S3F04	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S3F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S3F04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S3F04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-F10-11b	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Silac-F10-11b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-F10-11b.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F10-11b.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S2F02	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S2F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S2F02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S2F02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S3F03	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S3F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S3F03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S3F03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-2Bsf-F10	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-2Bsf-F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	10	1	Prot-2Bsf-F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S2F08	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S2F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S2F08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S2F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
MU3-Pcf-F4-5	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	5	MU3-Pcf-F4-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	MU3-Pcf-F4-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/MU3-Pcf-F4-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-2Bsf-F13	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-2Bsf-F13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	13	1	Prot-2Bsf-F13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-F13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf-f12-13	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	13	Bsf-f12-13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf-f12-13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf-f12-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-BSF-E	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-BSF-E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-BSF-E.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-BSF-E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Bsf3-F14-15	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	15	Bsf3-F14-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Bsf3-F14-15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Bsf3-F14-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-MU-F8-9	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	9	Silac-MU-F8-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-MU-F8-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-MU-F8-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-MU-F4-5	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	5	Silac-MU-F4-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-MU-F4-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-MU-F4-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
PT2201S2F05	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	PT2201S2F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	PT2201S2F05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/PT2201S2F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-2Bsf-A	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-2Bsf-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-2Bsf-A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-MU-F14-15	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	15	Silac-MU-F14-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-MU-F14-15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-MU-F14-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-2Bsf-B	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Prot-2Bsf-B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-2Bsf-B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Silac-F14-15a	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	1	Silac-F14-15a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Silac-F14-15a.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Silac-F14-15a.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
Prot-2Bsf-F8-9	Trypanosoma brucei	serum	hela	not available	phosphopeptide enrichment (TiO2)	9	Prot-2Bsf-F8-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	strong cation exchange chromatography	1	1	Prot-2Bsf-F8-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2013/07/PXD000049/Prot-2Bsf-F8-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	serum
