source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
IMAC_TiO2_eluate_15min_postIR_SCX_35	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	35	IMAC_TiO2_eluate_15min_postIR_SCX_35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_35.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_63	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	63	IMAC_Tio2_FT_15min_postIR_SCX_63	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_63.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_7	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	7	IMAC_TiO2_eluate_15min_postIR_SCX_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_46_47	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	47	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_46_47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_46_47.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_46_47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_40_41	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	41	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_40_41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_40_41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_40_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_54_55	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	55	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_54_55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_54_55.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_54_55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_8	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	8	IMAC_TiO2_eluate_15min_postIR_SCX_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_105	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	IMAC_Tio2_FT_15min_postIR_SCX_105	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_105.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_105.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_96	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	96	IMAC_Tio2_FT_15min_postIR_SCX_96	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_96.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_96.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_85	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	85	IMAC_Tio2_FT_15min_postIR_SCX_85	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_85.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_85.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_1	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	IMAC_TiO2_eluate_15min_postIR_SCX_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_68_69	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	69	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_68_69	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_68_69.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_68_69.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_64_65	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	65	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_64_65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_64_65.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/Pilotexp_IMAC_TiO2_eluate_15min_postIR_SCX_64_65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_90	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	90	IMAC_TiO2_eluate_15min_postIR_SCX_90	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_90.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_90.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_42	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	42	IMAC_TiO2_eluate_15min_postIR_SCX_42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_42.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_56	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	56	IMAC_TiO2_eluate_15min_postIR_SCX_56	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_106	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	1	IMAC_Tio2_FT_15min_postIR_SCX_106	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_106.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_106.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_75	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	75	IMAC_Tio2_FT_15min_postIR_SCX_75	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_75.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_75.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_Tio2_FT_15min_postIR_SCX_70	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	70	IMAC_Tio2_FT_15min_postIR_SCX_70	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_Tio2_FT_15min_postIR_SCX_70.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_Tio2_FT_15min_postIR_SCX_70.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
IMAC_TiO2_eluate_15min_postIR_SCX_72	Arabidopsis thaliana	not available	not applicable	not available	phosphopeptide enrichment (TiO2)	72	IMAC_TiO2_eluate_15min_postIR_SCX_72	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=beam-type collision-induced dissociation;AC=MS:1002481	5 ppm	0.5 Da	35% NCE	strong cation exchange chromatography	tris(2-carboxyethyl)phosphine	1	1	IMAC_TiO2_eluate_15min_postIR_SCX_72.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/01/PXD000033/IMAC_TiO2_eluate_15min_postIR_SCX_72.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
